#     x (arcsec)      y (arcsec)              g1              g2               z
       -621.1792        555.2073          0.7013         -0.1790           1.085
        331.9917        867.1990          0.1772         -0.5618           2.460
       -299.0278       -551.2067          0.6861         -0.1746           5.678
        726.2142        660.0026          0.2390          0.0750           3.538
       -375.5752       -777.8509          0.6510          0.2776           4.770
       -586.6275        829.8992          0.0748         -0.0362           1.703
       -616.4890       -671.9635         -0.2748          0.3570           2.415
        185.4093        266.4972         -0.0320         -0.3227           4.653
       -896.3401       -551.3061          0.0770         -0.1749           5.501
       -308.9395        426.7937         -0.4639          0.3014           2.741
        471.8939       -728.0478         -0.1985          0.7046           1.926
       -278.5167       -627.9585         -0.1488         -0.1518           3.638
       -559.3685        582.4779         -0.0138          0.3969           1.563
        -92.0168       -815.2795          0.0106         -0.0463           4.058
       -799.6431         96.6883         -0.1916         -0.0116           3.445
       -710.7283       -316.6731          0.2680         -0.0093           5.727
       -772.5435        214.4606         -0.0071         -0.1808           4.805
        302.6185        869.2734         -0.5849         -0.3498           3.977
       -364.3000       -402.6202         -0.1479         -0.5186           1.598
       -697.2562       -207.5768         -0.1199          0.5143           3.223
        601.4147         33.8248          0.4896         -0.1685           2.044
       -369.8063        823.0345         -0.1825         -0.1515           0.713
       -598.9684        781.0461          0.0925          0.3951           4.405
        755.8709        168.9799         -0.6590         -0.4376           0.920
        286.2985        360.8614          0.0317         -0.4213           0.876
       -543.8303       -190.7415         -0.5909         -0.4721           4.882
       -224.8890       -271.4539         -0.1425         -0.2524           3.741
        521.3098       -622.0920          0.5398         -0.4466           2.752
        277.7667       -493.6947         -0.2259          0.1789           2.826
         -7.1641       -326.4652         -0.1924         -0.0248           1.015
       -593.1711         78.6782          0.5990          0.1549           1.159
       -127.1734       -787.1331          0.1498         -0.3682           1.244
       -471.9605        313.9343          0.2958          0.1906           3.100
          9.0250        547.5239          0.6143         -0.1503           1.294
       -822.5306       -344.0700          0.1354         -0.0126           5.130
       -770.7059       -722.4992         -0.3393         -0.1495           3.185
       -720.4033         80.1299         -0.6565         -0.3011           2.007
       -836.5156        172.3587          0.3922         -0.4863           5.607
        512.4481        -62.4647         -0.3501         -0.2692           0.700
         47.8701       -365.6415         -0.0654          0.1149           3.459
         13.0881       -379.0193          0.7774         -0.1620           3.762
         11.5539       -560.5091          0.0973         -0.0609           4.621
       -689.9720        673.1161         -0.1884          0.0089           0.657
        881.3308       -466.2760         -0.6519          0.1676           4.579
        -85.7209        427.2800         -0.5243         -0.2696           1.099
       -594.9046        330.6078          0.2753          0.2772           1.212
        447.8911        565.6132          0.2496         -0.4300           1.805
       -319.3409         -3.6094          0.5415          0.4688           4.176
       -641.4245        159.3115          0.3066         -0.2368           0.591
         42.0262       -489.5444          0.7246         -0.1835           3.673
       -246.7255        -88.4099         -0.6798         -0.3648           4.557
       -812.8728        835.3817         -0.0125         -0.3716           3.873
        104.2769         89.9303         -0.0568         -0.4216           1.239
        376.0251        354.9901          0.1600         -0.1546           4.916
       -595.9154       -252.9857         -0.1105          0.2390           3.891
        168.7082       -576.2440          0.2840          0.1996           4.022
       -121.8795       -513.7751          0.3384          0.2248           5.556
       -656.2308        -57.0354         -0.0844         -0.2353           1.972
       -814.5754       -557.1252         -0.2306          0.1381           4.155
        -33.6484       -448.4665         -0.1014          0.0508           0.902
        213.1683        746.7432         -0.2606          0.0805           3.484
        221.1909       -637.5364         -0.1822         -0.1888           2.362
       -597.8243        883.1766         -0.3234          0.3850           1.324
       -685.0381       -880.8524          0.1067         -0.0861           1.884
       -644.6354        517.1747          0.1358          0.2366           4.217
       -309.4856       -117.5339          0.6563          0.0526           2.509
